POWERINDIA	Hitachi Energy India Limited	Capital Goods
GVT&D	GE Vernova T&D India Limited	Capital Goods
APARINDS	Apar Industries Limited	Capital Goods
POLYCAB	Polycab India Limited	Capital Goods
KEI	KEI Industries Limited	Capital Goods
PRAJIND	Praj Industries Limited	Capital Goods
BHARATFORG	Bharat Forge Limited	Automobile and Auto Components
TIMKEN	Timken India Limited	Capital Goods
SKFINDIA	SKF India Limited	Automobile and Auto Components
GRINDWELL	Grindwell Norton Limited	Capital Goods
ELGIEQUIP	Elgi Equipments Limited	Capital Goods
KSB	Ksb Limited	Capital Goods
M&M	Mahindra & Mahindra Limited	Automobile and Auto Components
MARUTI	Maruti Suzuki India Limited	Automobile and Auto Components
TMCV	Tata Motors Limited	Capital Goods
BAJAJ-AUTO	Bajaj Auto Limited	Automobile and Auto Components
TVSMOTOR	TVS Motor Company Limited	Automobile and Auto Components
EICHERMOT	Eicher Motors Limited	Automobile and Auto Components
HEROMOTOCO	Hero MotoCorp Limited	Automobile and Auto Components
BOSCHLTD	Bosch Limited	Automobile and Auto Components
UNOMINDA	UNO Minda Limited	Automobile and Auto Components
SONACOMS	Sona BLW Precision Forgings Limited	Automobile and Auto Components
MOTHERSON	Samvardhana Motherson International Limited	Automobile and Auto Components
ENDURANCE	Endurance Technologies Limited	Automobile and Auto Components
SCHAEFFLER	Schaeffler India Limited	Automobile and Auto Components
SUNDRMFAST	Sundram Fasteners Limited	Automobile and Auto Components
TIINDIA	Tube Investments of India Limited	Automobile and Auto Components
EXIDEIND	Exide Industries Limited	Automobile and Auto Components
ARE&M	Amara Raja Energy & Mobility Limited	Automobile and Auto Components
CRAFTSMAN	Craftsman Automation Limited	Automobile and Auto Components
HAPPYFORGE	Happy Forgings Limited	Capital Goods
JBMA	JBM Auto Limited	Automobile and Auto Components
TCS	Tata Consultancy Services Limited	Information Technology
INFY	Infosys Limited	Information Technology
HCLTECH	HCL Technologies Limited	Information Technology
TECHM	Tech Mahindra Limited	Information Technology
PERSISTENT	Persistent Systems Limited	Information Technology
COFORGE	Coforge Limited	Information Technology
MPHASIS	MphasiS Limited	Information Technology
KPITTECH	KPIT Technologies Limited	Information Technology
TATAELXSI	Tata Elxsi Limited	Information Technology
CYIENT	Cyient Limited	Information Technology
ETERNAL	ETERNAL LIMITED	Consumer Services
NYKAA	FSN E-Commerce Ventures Limited	Consumer Services
DELHIVERY	Delhivery Limited	Services
NAUKRI	Info Edge (India) Limited	Consumer Services
AFFLE	Affle 3i Limited	Information Technology
INDIAMART	Indiamart Intermesh Limited	Consumer Services
MAPMYINDIA	C.E. Info Systems Limited	Information Technology
NEWGEN	Newgen Software Technologies Limited	Information Technology
TANLA	Tanla Platforms Limited	Information Technology
SUNPHARMA	Sun Pharmaceutical Industries Limited	Healthcare
CIPLA	Cipla Limited	Healthcare
DRREDDY	Dr. Reddy's Laboratories Limited	Healthcare
DIVISLAB	Divi's Laboratories Limited	Healthcare
MANKIND	Mankind Pharma Limited	Healthcare
TORNTPHARM	Torrent Pharmaceuticals Limited	Healthcare
LUPIN	Lupin Limited	Healthcare
ZYDUSLIFE	Zydus Lifesciences Limited	Healthcare
ALKEM	Alkem Laboratories Limited	Healthcare
AJANTPHARM	Ajanta Pharma Limited	Healthcare
LAURUSLABS	Laurus Labs Limited	Healthcare
SYNGENE	Syngene International Limited	Healthcare
GLAND	Gland Pharma Limited	Healthcare
PPLPHARMA	Piramal Pharma Limited	Healthcare
ERIS	Eris Lifesciences Limited	Healthcare
APOLLOHOSP	Apollo Hospitals Enterprise Limited	Healthcare
MAXHEALTH	Max Healthcare Institute Limited	Healthcare
FORTIS	Fortis Healthcare Limited	Healthcare
NH	Narayana Hrudayalaya Ltd.	Healthcare
RAINBOW	Rainbow Childrens Medicare Limited	Healthcare
MEDANTA	Global Health Limited	Healthcare
KIMS	Krishna Institute of Medical Sciences Limited	Healthcare
METROPOLIS	Metropolis Healthcare Limited	Healthcare
VIJAYA	Vijaya Diagnostic Centre Limited	Healthcare
HINDUNILVR	Hindustan Unilever Limited	Fast Moving Consumer Goods
NESTLEIND	Nestle India Limited	Fast Moving Consumer Goods
ITC	ITC Limited	Fast Moving Consumer Goods
BRITANNIA	Britannia Industries Limited	Fast Moving Consumer Goods
VBL	Varun Beverages Limited	Fast Moving Consumer Goods
TATACONSUM	TATA CONSUMER PRODUCTS LIMITED	Fast Moving Consumer Goods
GODREJCP	Godrej Consumer Products Limited	Fast Moving Consumer Goods
DABUR	Dabur India Limited	Fast Moving Consumer Goods
MARICO	Marico Limited	Fast Moving Consumer Goods
COLPAL	Colgate Palmolive (India) Limited	Fast Moving Consumer Goods
UNITDSPR	United Spirits Limited	Fast Moving Consumer Goods
UBL	United Breweries Limited	Fast Moving Consumer Goods
RADICO	Radico Khaitan Limited	Fast Moving Consumer Goods
TITAN	Titan Company Limited	Consumer Durables
KALYANKJIL	Kalyan Jewellers India Limited	Consumer Durables
TRENT	Trent Limited	Consumer Services
DMART	Avenue Supermarts Limited	Consumer Services
MANYAVAR	Vedant Fashions Limited	Consumer Services
DEVYANI	Devyani International Limited	Consumer Services
JUBLFOOD	Jubilant Foodworks Limited	Consumer Services
PAGEIND	Page Industries Limited	Textiles
METROBRAND	Metro Brands Limited	Consumer Services
RELAXO	Relaxo Footwears Limited	Consumer Durables
VOLTAS	Voltas Limited	Consumer Durables
BLUESTARCO	Blue Star Limited	Consumer Durables
HAVELLS	Havells India Limited	Consumer Durables
CROMPTON	Crompton Greaves Consumer Electricals Limited	Consumer Durables
VGUARD	V-Guard Industries Limited	Consumer Durables
WHIRLPOOL	Whirlpool of India Limited	Consumer Durables
SYMPHONY	Symphony Limited	Consumer Durables
TTKPRESTIG	TTK Prestige Limited	Consumer Durables
CERA	Cera Sanitaryware Limited	Consumer Durables
KAJARIACER	Kajaria Ceramics Limited	Consumer Durables
SUPREMEIND	Supreme Industries Limited	Capital Goods
ASTRAL	Astral Limited	Capital Goods
FINPIPE	Finolex Industries Limited	Capital Goods
PRINCEPIPE	Prince Pipes And Fittings Limited	Capital Goods
PIDILITIND	Pidilite Industries Limited	Chemicals
SRF	SRF Limited	Chemicals
PIIND	PI Industries Limited	Chemicals
AARTIIND	Aarti Industries Limited	Chemicals
DEEPAKNTR	Deepak Nitrite Limited	Chemicals
NAVINFLUOR	Navin Fluorine International Limited	Chemicals
VINATIORGA	Vinati Organics Limited	Chemicals
ATUL	Atul Limited	Chemicals
CLEAN	Clean Science and Technology Limited	Chemicals
FINEORG	Fine Organic Industries Limited	Chemicals
FLUOROCHEM	Gujarat Fluorochemicals Limited	Chemicals
COROMANDEL	Coromandel International Limited	Chemicals
ASIANPAINT	Asian Paints Limited	Consumer Durables
BERGEPAINT	Berger Paints (I) Limited	Consumer Durables
KANSAINER	Kansai Nerolac Paints Limited	Consumer Durables
INDIGOPNTS	Indigo Paints Limited	Consumer Durables
TATASTEEL	Tata Steel Limited	Metals & Mining
JSWSTEEL	JSW Steel Limited	Metals & Mining
HINDALCO	Hindalco Industries Limited	Metals & Mining
JINDALSTEL	JINDAL STEEL LIMITED	Metals & Mining
VEDL	Vedanta Limited	Metals & Mining
NMDC	NMDC Limited	Metals & Mining
APLAPOLLO	APL Apollo Tubes Limited	Capital Goods
RATNAMANI	Ratnamani Metals & Tubes Limited	Capital Goods
JSL	Jindal Stainless Limited	Metals & Mining
HINDZINC	Hindustan Zinc Limited	Metals & Mining
ULTRACEMCO	UltraTech Cement Limited	Construction Materials
AMBUJACEM	Ambuja Cements Limited	Construction Materials
SHREECEM	SHREE CEMENT LIMITED	Construction Materials
DALBHARAT	Dalmia Bharat Limited	Construction Materials
RAMCOCEM	The Ramco Cements Limited	Construction Materials
NUVOCO	Nuvoco Vistas Corporation Limited	Construction Materials
STARCEMENT	Star Cement Limited	Construction Materials
KEC	KEC International Limited	Construction
KPIL	Kalpataru Projects International Limited	Construction
KNRCON	KNR Constructions Limited	Construction
PNCINFRA	PNC Infratech Limited	Construction
GRINFRA	G R Infraprojects Limited	Construction
NCC	NCC Limited	Construction
HGINFRA	H.G. Infra Engineering Limited	Construction
DLF	DLF Limited	Realty
GODREJPROP	Godrej Properties Limited	Realty
OBEROIRLTY	Oberoi Realty Limited	Realty
PRESTIGE	Prestige Estates Projects Limited	Realty
BRIGADE	Brigade Enterprises Limited	Realty
SOBHA	Sobha Limited	Realty
PHOENIXLTD	The Phoenix Mills Limited	Realty
NTPC	NTPC Limited	Power
POWERGRID	Power Grid Corporation of India Limited	Power
TATAPOWER	Tata Power Company Limited	Power
JSWENERGY	JSW Energy Limited	Power
NHPC	NHPC Limited	Power
SJVN	SJVN Limited	Power
TORNTPOWER	Torrent Power Limited	Power
CESC	CESC Limited	Power
SUZLON	Suzlon Energy Limited	Capital Goods
INOXWIND	Inox Wind Limited	Capital Goods
WAAREEENER	Waaree Energies Limited	Capital Goods
PREMIERENE	Premier Energies Limited	Capital Goods
KPIGREEN	KPI Green Energy Limited	Power
RELIANCE	Reliance Industries Limited	Oil Gas & Consumable Fuels
ONGC	Oil & Natural Gas Corporation Limited	Oil Gas & Consumable Fuels
IOC	Indian Oil Corporation Limited	Oil Gas & Consumable Fuels
BPCL	Bharat Petroleum Corporation Limited	Oil Gas & Consumable Fuels
GAIL	GAIL (India) Limited	Oil Gas & Consumable Fuels
PETRONET	Petronet LNG Limited	Oil Gas & Consumable Fuels
IGL	Indraprastha Gas Limited	Oil Gas & Consumable Fuels
MGL	Mahanagar Gas Limited	Oil Gas & Consumable Fuels
AEGISLOG	Aegis Logistics Limited	Oil Gas & Consumable Fuels
OIL	Oil India Limited	Oil Gas & Consumable Fuels
COALINDIA	Coal India Limited	Oil Gas & Consumable Fuels
ADANIENT	Adani Enterprises Limited	Metals & Mining
ADANIPORTS	Adani Ports and Special Economic Zone Limited	Services
ADANIGREEN	Adani Green Energy Limited	Power
ADANIPOWER	Adani Power Limited	Power
BHARTIARTL	Bharti Airtel Limited	Telecommunication
BHARTIHEXA	Bharti Hexacom Limited	Telecommunication
INDUSTOWER	Indus Towers Limited	Telecommunication
TATACOMM	Tata Communications Limited	Telecommunication
HFCL	HFCL Limited	Telecommunication
TEJASNET	Tejas Networks Limited	Telecommunication
INDIGO	InterGlobe Aviation Limited	Services
CONCOR	Container Corporation of India Limited	Services
BLUEDART	Blue Dart Express Limited	Services
TATAMOTORS	Tata Motors Limited	Automobile and Auto Components
